,rouge1,rouge2,rougeL,f1,sas,bertscore
117,0.43,0.14,0.21,0.12,0.70742506,0.91
118,0.33,0.29,0.32,0.23,0.68036103,0.93
119,0.43,0.15,0.23,0.23,0.4342498,0.97
120,0.2,0.11,0.15,0.08,0.48300335,0.93
121,0.39,0.3,0.35,0.3,0.5371286,0.95
122,0.37,0.07,0.23,0.23,0.46613488,0.97
123,0.4,0.06,0.18,0.14,0.56354344,0.98
124,0.49,0.33,0.36,0.37,0.59923935,0.97
125,0.25,0.05,0.16,0.14,0.53828365,0.93
126,0.19,0.03,0.14,0.09,0.7012224,0.87
127,0.21,0.11,0.17,0.15,0.42658076,0.94
128,0.22,0.13,0.18,0.14,0.68692714,0.89
129,0.25,0.03,0.16,0.09,0.5936583,0.95
130,0.29,0.07,0.16,0.2,0.5773837,0.96
131,0.26,0.05,0.17,0.15,0.33790046,0.91
132,0.32,0.09,0.18,0.16,0.6084173,0.94
133,0.23,0.09,0.18,0.15,0.62703425,0.95
134,0.38,0.05,0.17,0.17,0.61505985,0.97
135,0.35,0.1,0.21,0.11,0.47473902,0.96
136,0.22,0.14,0.16,0.17,0.72220767,0.94
137,0.15,0.04,0.11,0.1,0.67033315,0.89
138,0.47,0.13,0.26,0.14,0.6661003,0.91
139,0.43,0.15,0.24,0.14,0.5418735,0.97
140,0.15,0.04,0.1,0.12,0.57251555,0.91
141,0.31,0.21,0.27,0.23,0.64593273,0.89
142,0.09,0.04,0.07,0.06,0.5364801,0.82
143,0.16,0.04,0.13,0.13,0.6429778,0.9
144,0.4,0.11,0.21,0.17,0.6955558,0.97
145,0.55,0.39,0.43,0.35,0.6202958,0.96
146,0.41,0.23,0.3,0.24,0.59579897,0.95
147,0.32,0.08,0.21,0.19,0.70500004,0.89
148,0.31,0.05,0.17,0.17,0.5227951,0.96
