,palabra,sinonimos
126,convocatoria,"['concurso-subasta', 'licitación', 'convocatoria de ofertas', 'concurso restringido', 'concurso público', 'subasta pública', 'pliego de condiciones generales', 'expediente de licitación', 'convocatoria de licitación', 'contrato público', 'objeto del contrato']"
127,fondo de garantía salarial,"['fogasa', 'salario', 'remuneración salarial', 'salario-hora profesional', 'salarial', 'tarifa de salarios', 'sueldo', 'jornal', 'nómina', 'salario móvil', 'honorarios', 'estipendio', 'salario por unidad de obra']"
128,fallecimiento,"['defunción', 'muerte']"
129,relación laboral,"['vínculo laboral', 'relación de trabajo']"
130,subsanación,"['rectificación', 'corrección', 'enmienda', 'modificación', 'reforma']"
131,adjudicación,['poder adjudicador']
132,minusválido,['trabajador minusválido']
133,aval,"['fianza', 'aval bancario', 'avales']"
134,política de la vivienda,"['construcción de viviendas', 'política', 'politica']"
135,medida cautelar,"['medida preventiva', 'medida conservativa', 'medida', 'unidad de medida']"
136,legalidad,"['ilegalidad', 'legislación', 'vertiente jurídica']"
137,jurisdicción social,"['jurisdicción laboral', 'jurisdicción del orden social', 'jurisdicción', 'sistema jurisdiccional', 'competencia judicial']"
138,elaboración del derecho de la ue,['procedimiento legislativo de la unión europea']
139,información al consumidor,"['consumidor', 'jrc', 'heterótrofo', 'plan de acción en favor de los consumidores', 'educación del consumidor', 'red para la solución extrajudicial de litigios de consumo', 'información', 'datos', 'informacion', 'información policial confidencial']"
140,notificación,['notificacion']
141,derecho mercantil,"['legislación comercial', 'derecho mercantil', 'derecho']"
142,excedencia,"['permiso por asuntos propios', 'exceder']"
143,sindicalismo,"['movimiento sindical', 'sindicato obrero']"
144,huelga,"['huelgas', 'paro laboral']"
145,recluso,['preso']
146,buena fe,"['rectitud', 'probidad', 'lealtad']"
147,plan de pensiones,"['subsidio de vejez', 'prestación social', 'asistencia social', 'prestación o transferencia social', 'pensión']"
148,procedimiento concursal,"['procedimiento de quiebra', 'procedimiento']"
149,discriminación,"['discriminación social', 'discriminación de género', 'discriminador', 'discriminatorio']"
150,conducta,"['código internacional de conducta', 'comportamiento']"
151,contractual,"['disposición del contrato', 'contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
152,cuidado de la salud,['cura médica']
153,aplicar,"['un sistema de precios mínimos', 'en sustitución de los contingentes']"
154,mandato,"['orden de pago', 'libramiento', 'libranza', 'procuración']"
155,ley,"['ley marco', 'norma jurídica', 'reforma de la ley', 'ley constitutiva', 'recurso en interés de ley', 'redacción de la ley', 'ley aplicable', 'ley de patentes', 'propuesta de ley', 'rechazo de la ley', 'orden ministerial', 'infracción del código de tráfico', 'finura milesimal', 'interpretación judicial', 'norma', 'vigencia de la ley', 'comentario sobre un texto legislativo', 'ley electoral nacional', 'ley habilitante', 'violación de la ley', 'retroactividad']"
156,representación legal,"['representante legal', 'representación jurídica']"
157,formación,"['educación', 'enseñanza']"
158,trabajador con discapacidad,"['trabajador minusválido', 'discapacidad']"
159,asesor jurídico,"['consejero jurídico', 'secretario judicial', 'actuario']"
160,conflicto laboral,"['conflicto salarial', 'conflicto', 'conflicto dramatico', 'conflicto dramático']"
161,análisis,"['examen', 'evaluación', 'estimación', 'apreciación', 'enjuiciamiento', 'valoración']"
162,equipo informático,['soporte físico informático']
163,plan de pensiones,"['subsidio de vejez', 'pensión', 'pensión (hospedaje)', 'posada secreta', 'casa de huéspedes']"
164,responsabilidad penal,"['responsabilidad criminal', 'responsabilidad', 'responsabilidad por los daños ecológicos', 'responsabilidad pública', 'responsabilidad legal', 'responsabilidad medioambiental de la empresa', 'utilización pacífica del espacio', 'sociedad limitada', 'responsabilidad del gobierno', 'minoría de edad en derecho penal', 'responsabilidad de la administración pública', 'responsabilidad por vicios ocultos', 'acción por daños y perjuicios']"
165,principio de quien contamina paga,"['contaminador-pagador', 'principio']"
166,prevención de riesgos laborales,"['prevencion de riesgo laboral', 'prevencion de riesgos laborales', 'prevención de riesgo laboral', 'higiene industrial', 'salud laboral', 'seguridad laboral', 'prevención']"
167,hipoteca,"['hipotecas', 'credito hipotecario', 'gravamen', 'contrato de hipoteca', 'préstamo hipotecario', 'crédito hipotecario', 'hipotecaria', 'prestamo hipotecario', 'gravámen', 'derecho hipotecario', 'hipotecar', 'hipotecario']"
168,persona jubilada,"['pensionista', 'personal']"
169,publicidad,"['publicitaria', 'mensajes publicitarios', 'diseno publictario', 'spam', 'advertising', 'hacer publico', 'medidas de publicidad', 'diseno publicitario', 'publicidad falsa', 'diseño publicitario', 'reclamación (por mercancía defectuosa)', 'diseño publictario', 'publicitario', 'hacer público', 'mensajes comerciales', 'publicidad comercial', 'propaganda', 'publicidades', 'reclame']"
170,pensión complementaria,"['complemento de jubilación', 'plan de pensiones', 'subsidio de vejez']"
171,doctorado,"['doctorat', 'título universitario', 'doctorado (francia)']"
172,antigüedad,"['antiguedad', 'antiguedades', 'antigüedades']"
173,profesión artística,"['artistico', 'artístico', 'artística', 'torero', 'artistica', 'profesión', 'carrera profesional', 'profesiones', 'profesion']"
174,salud pública,['sanidad pública']
175,régimen,['alimento dietético']
176,persona jurídica,"['persona', 'persona juridica', 'persona moral', 'personas jurídicas', 'personas juridicas', 'personal']"
177,crédito,"['compra a plazos', 'créditos']"
178,asociación internacional de la seguridad social,"['aiss', 'asociación', 'sociedad', 'unión', 'corporación', 'cooperativa']"
179,sindicato,"['sindicato obrero', 'sindicalismo', 'movimiento sindical', 'sindicato obrero']"
180,ere,"['erte', 'expediente de regulación de empleo']"
181,residencia,['residencia principal']
182,problema social,['descontento social']
183,crédito horario,"['horas sindicales', 'crédito de horas', 'crédito', 'compra a plazos', 'créditos']"
184,contratos formativos,"['contrato formativo', 'contrato de formación', 'contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
185,gratificaciones extraordinarias,"['paga extra', 'pago adicional', 'paga extraordinaria', 'gratificación', 'sobresueldo', 'propina']"
186,ampliación,['tarjeta gráfica']
187,poder adquisitivo,['poder de compra']
188,centro de trabajo,"['lugar de trabajo', 'puesto de trabajo', 'trabajo', 'empleo']"
189,derecho de familia,"['family law', 'derecho familiar', 'derecho de las familias', 'derecho']"
190,cónyuge,['marido']
191,vigencia,"['cumplimiento de la ley', 'desarrollo de la ley', 'ejecución de la ley', 'ley', 'ley marco', 'norma jurídica', 'reforma de la ley', 'ley constitutiva', 'recurso en interés de ley', 'redacción de la ley', 'ley aplicable', 'ley de patentes', 'propuesta de ley', 'rechazo de la ley', 'orden ministerial', 'infracción del código de tráfico', 'finura milesimal', 'interpretación judicial', 'norma', 'vigencia de la ley', 'comentario sobre un texto legislativo', 'ley electoral nacional', 'ley habilitante', 'violación de la ley', 'retroactividad']"
192,empresario,"['contratista', 'industrial', 'patrono', 'patrón', 'parte contratante', 'empresa', 'firma']"
193,adquisición,['oferta pública de intercambio']
194,autorización,"['permiso', 'consentimiento', 'aprobación', 'beneplácito', 'licencia', 'aceptación']"
195,derecho de las obligaciones,"['obligación civil', 'derecho']"
196,ley orgánica,"['ley organica', 'ley reguladora de los órganos del estado', 'ley', 'ley marco', 'norma jurídica', 'reforma de la ley', 'ley constitutiva', 'recurso en interés de ley', 'redacción de la ley', 'ley aplicable', 'ley de patentes', 'propuesta de ley', 'rechazo de la ley', 'orden ministerial', 'infracción del código de tráfico', 'finura milesimal', 'interpretación judicial', 'norma', 'vigencia de la ley', 'comentario sobre un texto legislativo', 'ley electoral nacional', 'ley habilitante', 'violación de la ley', 'retroactividad']"
197,mesa electoral,"['oficina electoral', 'local electoral', 'votación', 'voto electrónico', 'votación secreta', 'voto', 'voto por procuración', 'votación del presupuesto', 'papeleta de voto', 'última vuelta electoral']"
198,protección,"['aislamiento de huecos', 'cavidades']"
199,compra,['adquisición']
200,autogobierno,['estatuto de autonomía']
201,turno de trabajo,"['turno', 'trabajo', 'empleo']"
202,comisión parlamentaria,"['subcomisión parlamentaria', 'comision parlamentaria', 'comisión', 'puesta en servicio']"
203,impuesto,['tributo']
204,política,['politica']
205,prolongación,"['continuación', 'extensión']"
206,autoridad,['desviación de poder']
207,empresa de trabajo temporal,"['ett', 'empresa', 'firma']"
208,calendario laboral,['calendario de trabajo']
209,responsabilidad del fabricante,"['responsabilidad de productor', 'responsabilidad por vicios ocultos', 'responsabilidad', 'responsabilidad por los daños ecológicos', 'responsabilidad pública', 'responsabilidad legal', 'responsabilidad medioambiental de la empresa', 'utilización pacífica del espacio', 'sociedad limitada', 'responsabilidad del gobierno', 'minoría de edad en derecho penal', 'responsabilidad de la administración pública', 'responsabilidad por vicios ocultos', 'acción por daños y perjuicios']"
210,cooperativa europea,"['s coop.', 'coop', 'cooperativas', 'sociedad cooperativa europea', 'bodega cooperativa', 'sociedad cooperativa', 'cooperativa', 's.coop.', 'sociedad cooperativa', 's coop', 'sociedades cooperativas', 'cooperación']"
211,jornada legal,"['semana de x horas', 'jornada', 'jornada de trabajo', 'día laborable', 'jornada laboral']"
212,trabajo efectivo,"['ocupación efectiva', 'trabajo', 'empleo']"
213,institución,"['institucion', 'institucional', 'instituciones']"
214,contenido,"['range', 'fuerza', 'alcance']"
215,cobertura universal de enfermedad,"['cobertura sanitaria universal', 'seguridad social', 'protección social', 'seguro social', 'sistema de previsión social', 'previsión social']"
216,vivienda,"['edificación habitable', 'alojamiento', 'política de la vivienda', 'construcción de viviendas']"
217,derecho civil,"['derecho común', 'derecho']"
218,conformidad,['conformismo']
219,tercera edad,['viejo']
220,recurso colectivo,"['sistema de reparación colectiva', 'recurso', 'acción para entablar recurso', 'demanda de recurso', 'vía de revisión']"
221,delegado,['delegada']
222,formación profesional continua,"['formación permanente', 'formación profesional', 'formación preprofesional']"
223,visado,"['visado turístico', 'visa']"
224,cuantía,"['cantidad', 'monto', 'importe']"
225,aplicación del derecho de la ue,"['aplicación del derecho de la unión europea', 'aplicación', 'despliegue', 'implementación']"
226,comercio,['pequeño comerciante']
227,maternidad,['parto']
228,comercio al por menor,"['ventas al por menor', 'venta al detalle', 'comercio minorista', 'ventas al detalle', 'venta al por menor', 'comercio', 'pequeño comerciante']"
229,horario flexible,"['horario variable', 'jornada', 'jornada de trabajo', 'día laborable', 'jornada laboral']"
230,reducción de jornada,"['jornada reducida', 'reducción del tiempo de trabajo', 'reducción del trabajo', 'reducción de jornada laboral', 'jornada', 'trabajo a media jornada', 'día laborable']"
231,telecomunicación,"['fibra óptica', 'satélite europeo de comunicaciones', 'tecnología de las telecomunicaciones', 'telecomunicación sin hilos', 'telecomunicacion', 'banda ancha']"
232,servicio,"['servicio económico', 'servicio economico']"
233,estatuto jurídico,"['personalidad jurídica', 'estatuto', 'reglamento']"
234,inobservancia,['incumplimiento']
235,absorción de empresas,"['fusión de empresas', 'concentración económica', 'concentración de sociedades']"
236,armonización de la seguridad social,"['armonización de los regímenes de seguridad social', 'seguridad social', 'protección social', 'seguro social', 'sistema de previsión social', 'previsión social']"
237,empresa,['firma']
238,usos y costumbres,"['normas consuetudinarias', 'fueros y costumbres']"
239,validez,['vigencia']
240,concentración económica,['concentración de sociedades']
241,ministerio fiscal,"['ministerio público fiscal', 'profesión jurídica', 'procurador']"
242,estatuto,['reglamento']
243,duración,"['duracion', 'vida', 'atención a personas dependientes']"
244,recurso,"['acción para entablar recurso', 'demanda de recurso', 'vía de revisión']"
245,abogado,"['licenciado', 'letrado', 'licenciado en derecho', 'abogados', 'abogada', 'abogadas', 'licenciada', 'abogacía', 'colegio de abogados']"
246,administración regional,"['organismo regional', 'administración pública', 'administración del estado', 'gestion publica', 'administración publica', 'oficinas publicas', 'administracion pública', 'oficinas públicas', 'gestión pública', 'gestión publica', 'gestion pública', 'administraciones públicas', 'administracion del estado', 'administracion publica', 'administraciones publicas']"
247,movimientos de opinión,"['movimientos políticos y sociales', 'movimiento social', 'movimientos sociales']"
248,consumidores,"['economato', 'organización de consumidores', 'legislación en materia de protección de los consumidores', 'plan de acción en favor de los consumidores', 'política de consumo', 'protección del consumidor', 'plan de acción en favor de los consumidores']"
249,comité,['procedimiento de comité']
250,restricción de la competencia,"['práctica comercial restrictiva', 'restricción', 'restricción de una función']"
251,abuso de poder,"['desviación de poder', 'abuso']"
252,profesión liberal,"['servicios profesionales', 'categoría profesional']"
253,ampliación de vacaciones,"['ampliación del periodo de vacaciones', 'ampliación', 'tarjeta gráfica']"
254,publicidad de los precios,"['marcación de precios', 'indicación del precio', 'publicidad', 'publicitaria', 'mensajes publicitarios', 'diseno publictario', 'spam', 'advertising', 'hacer publico', 'medidas de publicidad', 'diseno publicitario', 'publicidad falsa', 'diseño publicitario', 'reclamación (por mercancía defectuosa)', 'diseño publictario', 'publicitario', 'hacer público', 'mensajes comerciales', 'publicidad comercial', 'propaganda', 'publicidades', 'reclame']"
255,transferencias sociales,"['ingresos sociales', 'transferencia', 'transferencia directa', 'transconexión', 'cesión de derecho', 'conexión en transferencia', 'cesion de derechos']"
256,condición de jubilación,"['edad de jubilación', 'condición']"
